<Fri Oct  9 20:14:37 2020> Alias(2720): '/rl' | @Spring Tavern (332)
<Fri Oct  9 20:16:37 2020> Alias(2720): '/rl' | @Spring Tavern (332)
<Fri Oct  9 20:18:54 2020> Alias(2720): '/rl' | @Spring Tavern (332)
<Fri Oct  9 20:21:50 2020> Alias(2720): '/rl' | @Spring Tavern (332)
<Fri Oct  9 20:22:51 2020> Alias(2720): '/rl' | @Spring Tavern (332)
<Fri Oct  9 20:23:27 2020> Alias(2720): '/rl' | @Spring Tavern (332)
<Fri Oct  9 20:26:12 2020> Alias(2720): '/rl' | @Spring Tavern (332)
<Fri Oct  9 20:31:37 2020> Alias(2720): '/rl' | @Spring Tavern (332)
<Fri Oct  9 20:32:46 2020> Alias(2720): '/rl' | @Spring Tavern (332)
<Fri Oct  9 20:33:55 2020> Alias(2720): '/rl' | @Spring Tavern (332)
<Fri Oct  9 20:34:51 2020> Alias(2720): '/rl' | @Spring Tavern (332)
