<Wed Oct  7 20:47:46 2020> Newb(2722): '/rl' | @Welcome (4711)
<Wed Oct  7 20:48:25 2020> Alias(2720): '/rl' | @Spring Tavern (332)
<Wed Oct  7 20:49:31 2020> Alias(2720): '/rl' | @Spring Tavern (332)
<Wed Oct  7 21:02:15 2020> Alias(2720): '/rl' | @Spring Tavern (332)
<Wed Oct  7 21:03:14 2020> Alias(2720): '/stealth' | @Deep Forest (4714)
<Wed Oct  7 21:05:11 2020> Alias(2720): '/rl' | @Deep Forest (4714)
<Wed Oct  7 21:08:28 2020> Alias(2720): '/warp 1401 10 10' | @Chung Ryong Shrine (1401)
<Wed Oct  7 21:08:59 2020> Alias(2720): '/item gold_acorn 4' | @Chung Ryong Shrine (1401)
<Wed Oct  7 21:09:13 2020> Alias(2720): '/item gold_acorn' | @Chung Ryong Shrine (1401)
<Wed Oct  7 21:09:53 2020> Alias(2720): '/rl' | @Chung Ryong Shrine (1401)
<Wed Oct  7 21:18:25 2020> Alias(2720): '/rl' | @Monty Hall (3001)
<Wed Oct  7 21:18:35 2020> Alias(2720): '/reloaditem' | @Monty Hall (3001)
<Wed Oct  7 21:22:09 2020> Alias(2720): '/reloaditem' | @Monty Hall (3001)
<Wed Oct  7 21:22:21 2020> Alias(2720): '/item egg' | @Monty Hall (3001)
<Wed Oct  7 21:22:45 2020> Alias(2720): '/tl' | @Monty Hall (3001)
<Wed Oct  7 21:24:39 2020> Alias(2720): '/rl' | @Monty Hall (3001)
<Wed Oct  7 21:24:54 2020> Alias(2720): '/tl' | @Monty Hall (3001)
<Wed Oct  7 21:25:00 2020> Alias(2720): '/rl' | @Monty Hall (3001)
<Wed Oct  7 21:26:49 2020> Alias(2720): '/rl' | @Monty Hall (3001)
<Wed Oct  7 21:27:22 2020> Alias(2720): '/tl' | @Monty Hall (3001)
