<Thu Oct  8 19:35:29 2020> Alias(2720): '/rl' | @Pepper Tavern (361)
<Thu Oct  8 19:35:46 2020> Alias(2720): '/stealth' | @Pepper Tavern (361)
<Thu Oct  8 19:38:41 2020> Alias(2720): '/level 80' | @Yebaek Sanctum (366)
<Thu Oct  8 19:40:42 2020> Alias(2720): '/heal' | @Yebaek Sanctum (366)
<Thu Oct  8 19:40:45 2020> Alias(2720): 'quest' | @Yebaek Sanctum (366)
<Thu Oct  8 19:40:57 2020> Alias(2720): 'complete' | @Yebaek Sanctum (366)
<Thu Oct  8 19:45:22 2020> Alias(2720): '/rl' | @Yebaek Sanctum (366)
<Thu Oct  8 19:45:48 2020> Alias(2720): 'complete' | @Yebaek Sanctum (366)
<Thu Oct  8 19:45:53 2020> Alias(2720): 'quest' | @Yebaek Sanctum (366)
<Thu Oct  8 19:46:02 2020> Alias(2720): 'quest' | @Yebaek Sanctum (366)
<Thu Oct  8 19:51:19 2020> Alias(2720): '/rl' | @Yebaek Sanctum (366)
<Thu Oct  8 19:51:20 2020> Alias(2720): 'quest' | @Yebaek Sanctum (366)
<Thu Oct  8 19:52:05 2020> Alias(2720): '/rl' | @Yebaek Sanctum (366)
<Thu Oct  8 19:52:05 2020> Alias(2720): 'quest' | @Yebaek Sanctum (366)
<Thu Oct  8 19:52:55 2020> Alias(2720): '/rl' | @Yebaek Sanctum (366)
<Thu Oct  8 19:53:01 2020> Alias(2720): '/quest' | @Yebaek Sanctum (366)
<Thu Oct  8 19:53:03 2020> Alias(2720): 'quest' | @Yebaek Sanctum (366)
<Thu Oct  8 19:53:10 2020> Alias(2720): '/tl' | @Yebaek Sanctum (366)
<Thu Oct  8 19:53:14 2020> Alias(2720): 'quest' | @Yebaek Sanctum (366)
<Thu Oct  8 19:53:47 2020> Alias(2720): '/rl' | @Yebaek Sanctum (366)
<Thu Oct  8 19:54:05 2020> Alias(2720): '/rl' | @Yebaek Sanctum (366)
<Thu Oct  8 19:54:06 2020> Alias(2720): '/tl' | @Yebaek Sanctum (366)
<Thu Oct  8 19:54:26 2020> Alias(2720): 'quest' | @Yebaek Sanctum (366)
<Thu Oct  8 19:54:55 2020> Alias(2720): 'complete' | @Yebaek Sanctum (366)
<Thu Oct  8 19:57:20 2020> Alias(2720): 'quest' | @Yebaek Sanctum (366)
