<Tue Oct  6 10:55:12 2020> Alias(2720): '/warp 1701' | @Pepper Tavern (361)
<Tue Oct  6 10:55:19 2020> Alias(2720): '/warp 1701 10 10' | @Pepper Tavern (361)
<Tue Oct  6 10:55:29 2020> Alias(2720): '/stealth' | @Buya (330)
<Tue Oct  6 10:55:46 2020> Alias(2720): '/warp 1071 10 10' | @Test (1071)
<Tue Oct  6 10:56:33 2020> Alias(2720): '/warp 1072 10 10' | @Test (1072)
<Tue Oct  6 11:02:28 2020> Alias(2720): '/warp 15051' | @Bomber war waiting area (15051)
<Tue Oct  6 11:02:39 2020> Alias(2720): '/warp 31' | @Tower Arena (31)
<Tue Oct  6 11:02:55 2020> Alias(2720): '/warp 7200' | @Tower Arena (31)
<Tue Oct  6 11:03:48 2020> Alias(2720): '/warp 2606' | @Giveni's Pond 1 (2606)
<Tue Oct  6 11:03:55 2020> Alias(2720): '/warp 2606 10 10' | @Giveni's Pond 1 (2606)
<Tue Oct  6 11:04:21 2020> Alias(2720): '/warp 2998 10 10' | @Nagnang Fairgrounds (2998)
<Tue Oct  6 11:17:38 2020> Alias(2720): '/reloadnpc' | @Nagnang Fairgrounds (2998)
<Tue Oct  6 11:17:54 2020> Alias(2720): '/warp 1071' | @Test (1071)
<Tue Oct  6 11:18:39 2020> Alias(2720): '/reloadnpc' | @Test (1071)
<Tue Oct  6 11:19:11 2020> Alias(2720): '/reloadnpc' | @Test (1071)
<Tue Oct  6 11:19:25 2020> Alias(2720): '/warp 41' | @Mythic Nexus (41)
<Tue Oct  6 11:20:12 2020> Alias(2720): '/item white_amber' | @Mythic Nexus (41)
<Tue Oct  6 11:20:37 2020> Alias(2720): '/item white_amber' | @Mythic Nexus (41)
<Tue Oct  6 11:22:15 2020> Alias(2720): '/warp 4' | @NPC Chamber (4)
<Tue Oct  6 11:22:26 2020> Alias(2720): '/warp 4 10 10' | @NPC Chamber (4)
<Tue Oct  6 11:23:36 2020> Alias(2720): '/warp 3614 10 10' | @Immortal's Gateway (3614)
<Tue Oct  6 11:24:36 2020> Alias(2720): '/warp 41 41 41' | @Mythic Nexus (41)
<Tue Oct  6 11:24:45 2020> Alias(2720): '/reloadnpc' | @Mythic Nexus (41)
<Tue Oct  6 11:24:57 2020> Alias(2720): '/map 1071 10 10' | @Mythic Nexus (41)
<Tue Oct  6 11:25:02 2020> Alias(2720): '/warp 1071 10 10' | @Test (1071)
