<Sun Sep 27 15:41:40 2020> Alias(2720): '/item steel_shield' | @Spring Tavern (332)
<Sun Sep 27 19:40:57 2020> Alias(2720): '/weap 0 0' | @Buya (330)
<Sun Sep 27 19:41:02 2020> Alias(2720): '/weapon 0 0' | @Buya (330)
<Sun Sep 27 19:41:06 2020> Alias(2720): '/weap 1 1' | @Buya (330)
<Sun Sep 27 19:41:21 2020> Alias(2720): '/weap 10 10' | @Buya (330)
<Sun Sep 27 19:41:28 2020> Alias(2720): '/weap' | @Buya (330)
<Sun Sep 27 19:41:31 2020> Alias(2720): '/stealth' | @Buya (330)
<Sun Sep 27 19:41:39 2020> Alias(2720): '/nweap' | @Buya (330)
<Sun Sep 27 19:41:48 2020> Alias(2720): '/pweap' | @Buya (330)
<Sun Sep 27 19:43:34 2020> Alias(2720): '/nhair' | @Buya (330)
<Sun Sep 27 19:43:38 2020> Alias(2720): '/hairc' | @Buya (330)
<Sun Sep 27 19:43:40 2020> Alias(2720): '/hair' | @Buya (330)
<Sun Sep 27 19:44:15 2020> Alias(2720): '/hair' | @Buya (330)
<Sun Sep 27 19:44:17 2020> Alias(2720): '/hair' | @Buya (330)
<Sun Sep 27 19:44:50 2020> Alias(2720): '/nhairc' | @Buya (330)
<Sun Sep 27 19:44:54 2020> Alias(2720): '/phairc' | @Buya (330)
<Sun Sep 27 19:44:55 2020> Alias(2720): '/hairc' | @Buya (330)
<Sun Sep 27 19:46:57 2020> Alias(2720): '/weap' | @Buya (330)
<Sun Sep 27 19:47:24 2020> Alias(2720): '/weap' | @Buya (330)
<Sun Sep 27 19:47:45 2020> Alias(2720): '/rl' | @Buya (330)
<Sun Sep 27 19:48:05 2020> Alias(2720): 'weapon' | @Buya (330)
<Sun Sep 27 19:48:07 2020> Alias(2720): '/weap' | @Buya (330)
<Sun Sep 27 19:51:17 2020> Alias(2720): '/rl' | @Buya (330)
<Sun Sep 27 19:51:56 2020> Alias(2720): '/weap' | @Buya (330)
<Sun Sep 27 19:54:54 2020> Alias(2720): '/rl' | @Buya (330)
<Sun Sep 27 19:56:37 2020> Alias(2720): '/ndye' | @Buya (330)
<Sun Sep 27 19:56:45 2020> Alias(2720): '/stealth' | @Buya (330)
<Sun Sep 27 19:58:07 2020> Alias(2720): '/rl' | @Buya (330)
<Sun Sep 27 19:58:22 2020> Alias(2720): 'weaponc' | @Buya (330)
<Sun Sep 27 19:58:50 2020> Alias(2720): '/rl' | @Buya (330)
