<Sun Oct  4 18:03:01 2020> Alias(2720): '/warp 1401 10 10' | @Chung Ryong Shrine (1401)
<Sun Oct  4 18:03:03 2020> Alias(2720): '/stealth' | @Chung Ryong Shrine (1401)
<Sun Oct  4 18:03:25 2020> Alias(2720): 'forgive' | @Chung Ryong Shrine (1401)
<Sun Oct  4 18:04:31 2020> Alias(2720): '/rl' | @Chung Ryong Shrine (1401)
<Sun Oct  4 18:05:32 2020> Alias(2720): '/rl' | @Chung Ryong Shrine (1401)
<Sun Oct  4 18:05:48 2020> Alias(2720): '/rl' | @Chung Ryong Shrine (1401)
<Sun Oct  4 18:06:40 2020> Alias(2720): '/rl' | @Chung Ryong Shrine (1401)
<Sun Oct  4 18:06:58 2020> Alias(2720): '/rl' | @Chung Ryong Shrine (1401)
<Sun Oct  4 18:07:16 2020> Alias(2720): '/rl' | @Chung Ryong Shrine (1401)
<Sun Oct  4 18:07:59 2020> Alias(2720): '/rl' | @Chung Ryong Shrine (1401)
<Sun Oct  4 18:09:32 2020> Alias(2720): '/rl' | @Chung Ryong Shrine (1401)
<Sun Oct  4 18:10:00 2020> Alias(2720): '/rl' | @Chung Ryong Shrine (1401)
<Sun Oct  4 18:10:24 2020> Alias(2720): '/rl' | @Chung Ryong Shrine (1401)
<Sun Oct  4 18:10:44 2020> Alias(2720): '/rl' | @Chung Ryong Shrine (1401)
<Sun Oct  4 18:11:02 2020> Alias(2720): '/rl' | @Chung Ryong Shrine (1401)
<Sun Oct  4 18:11:47 2020> Alias(2720): '/rl' | @Chung Ryong Shrine (1401)
<Sun Oct  4 18:12:13 2020> Alias(2720): '/rl' | @Chung Ryong Shrine (1401)
<Sun Oct  4 18:13:55 2020> Alias(2720): '/rl' | @Chung Ryong Shrine (1401)
<Sun Oct  4 18:14:08 2020> Alias(2720): '/rl' | @Chung Ryong Shrine (1401)
<Sun Oct  4 18:14:55 2020> Alias(2720): '/rl' | @Chung Ryong Shrine (1401)
<Sun Oct  4 18:15:15 2020> Alias(2720): '/rl' | @Chung Ryong Shrine (1401)
<Sun Oct  4 18:15:48 2020> Alias(2720): '/rl' | @Chung Ryong Shrine (1401)
<Sun Oct  4 18:16:55 2020> Alias(2720): '/rl' | @Chung Ryong Shrine (1401)
<Sun Oct  4 18:17:28 2020> Alias(2720): '/rl' | @Chung Ryong Shrine (1401)
<Sun Oct  4 18:17:47 2020> Alias(2720): '/rl' | @Chung Ryong Shrine (1401)
<Sun Oct  4 18:18:27 2020> Alias(2720): '/rl' | @Chung Ryong Shrine (1401)
<Sun Oct  4 18:19:13 2020> Alias(2720): '/rl' | @Chung Ryong Shrine (1401)
<Sun Oct  4 18:20:00 2020> Alias(2720): '/rl' | @Chung Ryong Shrine (1401)
<Sun Oct  4 18:21:02 2020> Alias(2720): '/rl' | @Chung Ryong Shrine (1401)
<Sun Oct  4 18:21:54 2020> Alias(2720): '/rl' | @Chung Ryong Shrine (1401)
<Sun Oct  4 18:22:16 2020> Alias(2720): '/rl' | @Chung Ryong Shrine (1401)
<Sun Oct  4 18:22:31 2020> Alias(2720): '/rl' | @Chung Ryong Shrine (1401)
<Sun Oct  4 18:23:08 2020> Alias(2720): '/rl' | @Chung Ryong Shrine (1401)
<Sun Oct  4 18:23:20 2020> Alias(2720): '/rl' | @Chung Ryong Shrine (1401)
<Sun Oct  4 18:24:28 2020> Alias(2720): '/rl' | @Chung Ryong Shrine (1401)
<Sun Oct  4 18:25:04 2020> Alias(2720): '/rl' | @Chung Ryong Shrine (1401)
<Sun Oct  4 19:33:00 2020> Alias(2720): '/warp 1406 10 10' | @Baekho Shrine (1406)
<Sun Oct  4 19:34:52 2020> Alias(2720): '/rl' | @Baekho Shrine (1406)
<Sun Oct  4 19:39:40 2020> Alias(2720): '/rl' | @Baekho Shrine (1406)
<Sun Oct  4 19:39:55 2020> Alias(2720): '/tl' | @Baekho Shrine (1406)
<Sun Oct  4 19:44:30 2020> Alias(2720): '/rl' | @Baekho Shrine (1406)
<Sun Oct  4 19:44:31 2020> Alias(2720): '/tl' | @Baekho Shrine (1406)
<Sun Oct  4 19:45:33 2020> Alias(2720): '/rl' | @Baekho Shrine (1406)
<Sun Oct  4 19:45:36 2020> Alias(2720): '/tl' | @Baekho Shrine (1406)
<Sun Oct  4 19:47:17 2020> Alias(2720): '/rl' | @Baekho Shrine (1406)
<Sun Oct  4 19:47:23 2020> Alias(2720): '/tl' | @Baekho Shrine (1406)
<Sun Oct  4 19:47:43 2020> Alias(2720): '/tl' | @Baekho Shrine (1406)
<Sun Oct  4 19:48:49 2020> Alias(2720): '/rl' | @Baekho Shrine (1406)
<Sun Oct  4 19:48:49 2020> Alias(2720): '/tl' | @Baekho Shrine (1406)
<Sun Oct  4 19:49:27 2020> Alias(2720): '/rl' | @Baekho Shrine (1406)
<Sun Oct  4 19:49:31 2020> Alias(2720): '/tl' | @Baekho Shrine (1406)
<Sun Oct  4 19:49:57 2020> Alias(2720): '/rl' | @Baekho Shrine (1406)
<Sun Oct  4 19:49:58 2020> Alias(2720): '/tl' | @Baekho Shrine (1406)
<Sun Oct  4 19:51:29 2020> Alias(2720): '/rl' | @Baekho Shrine (1406)
<Sun Oct  4 19:51:29 2020> Alias(2720): '/tl' | @Baekho Shrine (1406)
<Sun Oct  4 19:52:33 2020> Alias(2720): '/item gold_acorn' | @Baekho Shrine (1406)
<Sun Oct  4 19:52:37 2020> Alias(2720): '/tl' | @Baekho Shrine (1406)
<Sun Oct  4 19:54:10 2020> Alias(2720): '/rl' | @Baekho Shrine (1406)
<Sun Oct  4 19:54:10 2020> Alias(2720): '/tl' | @Baekho Shrine (1406)
<Sun Oct  4 19:55:26 2020> Alias(2720): '/rl' | @Baekho Shrine (1406)
<Sun Oct  4 19:55:27 2020> Alias(2720): '/tl' | @Baekho Shrine (1406)
<Sun Oct  4 19:56:47 2020> Alias(2720): '/rl' | @Baekho Shrine (1406)
<Sun Oct  4 19:56:49 2020> Alias(2720): '/tl' | @Baekho Shrine (1406)
<Sun Oct  4 19:57:14 2020> Alias(2720): '/rl' | @Baekho Shrine (1406)
<Sun Oct  4 19:58:19 2020> Alias(2720): '/rl' | @Baekho Shrine (1406)
<Sun Oct  4 19:58:22 2020> Alias(2720): '/tl' | @Baekho Shrine (1406)
<Sun Oct  4 19:59:27 2020> Alias(2720): '/tl' | @Baekho Shrine (1406)
