<Mon Oct 12 11:23:32 2020> Alias(2720): '/islets' | @Pepper Tavern (361)
<Mon Oct 12 11:23:35 2020> Alias(2720): '/forest' | @Pepper Tavern (361)
<Mon Oct 12 11:23:36 2020> Alias(2720): '/mantis' | @Pepper Tavern (361)
<Mon Oct 12 11:26:57 2020> Alias(2720): '/reloadnpc' | @Cave (522)
<Mon Oct 12 11:28:33 2020> Alias(2720): '/reload npc' | @Noxhil Home (1031)
<Mon Oct 12 11:28:38 2020> Alias(2720): '/reloadnpc' | @Noxhil Home (1031)
<Mon Oct 12 11:29:22 2020> Alias(2720): '/arctic' | @Noxhil Home (1031)
<Mon Oct 12 11:29:54 2020> Alias(2720): '/reloadnpc' | @Arctic Tavern (3812)
<Mon Oct 12 11:34:49 2020> Alias(2720): '/reloadnpc' | @Cave (522)
<Mon Oct 12 11:35:58 2020> Alias(2720): '/stealth' | @Cave (522)
<Mon Oct 12 11:36:37 2020> Alias(2720): '/reloadnpc' | @Cave (522)
<Mon Oct 12 11:36:47 2020> Alias(2720): 'waypoint' | @Cave (522)
<Mon Oct 12 11:42:52 2020> Alias(2720): '/rl' | @Cave (522)
<Mon Oct 12 11:42:56 2020> Alias(2720): '/reloadnpc' | @Cave (522)
<Mon Oct 12 11:44:22 2020> Alias(2720): '/reloadnpc' | @Arctic Tavern (3812)
<Mon Oct 12 11:44:41 2020> Alias(2720): 'waypoint' | @Cave (522)
<Mon Oct 12 11:45:12 2020> Alias(2720): '/reloadnpc' | @Cave (522)
<Mon Oct 12 11:45:17 2020> Alias(2720): 'waypoint' | @Cave (522)
<Mon Oct 12 11:46:17 2020> Alias(2720): 'waypoint' | @Noxhil Home (1031)
<Mon Oct 12 11:46:20 2020> Alias(2720): '/rl' | @Noxhil Home (1031)
<Mon Oct 12 11:46:23 2020> Alias(2720): 'reloadnpc' | @Noxhil Home (1031)
<Mon Oct 12 11:46:29 2020> Alias(2720): '/reloadnpc' | @Noxhil Home (1031)
<Mon Oct 12 11:46:36 2020> Alias(2720): 'waypoint' | @Noxhil Home (1031)
<Mon Oct 12 11:47:51 2020> Alias(2720): '/rl' | @Noxhil Home (1031)
<Mon Oct 12 11:47:54 2020> Alias(2720): 'reloadnpc' | @Noxhil Home (1031)
<Mon Oct 12 11:47:58 2020> Alias(2720): '/reloadnpc' | @Noxhil Home (1031)
<Mon Oct 12 11:49:27 2020> Alias(2720): '/reloadnpc' | @Noxhil Home (1031)
<Mon Oct 12 11:49:36 2020> Alias(2720): 'waypoint' | @Noxhil Home (1031)
<Mon Oct 12 11:49:39 2020> Alias(2720): 'waypoint' | @Noxhil Home (1031)
<Mon Oct 12 11:50:03 2020> Alias(2720): '/rl' | @Noxhil Home (1031)
<Mon Oct 12 11:50:11 2020> Alias(2720): 'waypoint' | @Noxhil Home (1031)
<Mon Oct 12 11:50:29 2020> Alias(2720): 'waypoint' | @Arctic Tavern (3812)
<Mon Oct 12 11:50:49 2020> Alias(2720): 'waypoint' | @Walsuk Tavern (2)
<Mon Oct 12 11:51:34 2020> Alias(2720): '/rl' | @Walsuk Tavern (2)
<Mon Oct 12 11:51:42 2020> Alias(2720): 'rotah' | @Walsuk Tavern (2)
<Mon Oct 12 11:51:48 2020> Alias(2720): '/rl' | @Walsuk Tavern (2)
<Mon Oct 12 11:51:50 2020> Alias(2720): 'rotah' | @Walsuk Tavern (2)
<Mon Oct 12 11:51:52 2020> Alias(2720): 'waypoint' | @Wilderness (1002)
<Mon Oct 12 11:51:54 2020> Alias(2720): '/tl' | @Wilderness (1002)
<Mon Oct 12 11:51:57 2020> Alias(2720): 'waypoint' | @Wilderness (1002)
<Mon Oct 12 11:52:07 2020> Alias(2720): 'waypoint' | @Noxhil Home (1031)
