<Fri Oct  2 11:41:42 2020> Alias(2720): 'mythic' | @Spring Tavern (332)
<Fri Oct  2 11:41:46 2020> Alias(2720): '/stealth' | @Mythic Nexus (41)
<Fri Oct  2 11:42:05 2020> Alias(2720): '/rl' | @Swarmed Steps 1 (214)
<Fri Oct  2 11:43:05 2020> Alias(2720): '/rl' | @Swarmed Steps 1 (214)
<Fri Oct  2 11:52:53 2020> Alias(2720): '/reloadmob' | @Mythic Nexus (41)
<Fri Oct  2 11:52:58 2020> Alias(2720): '/rl' | @Mythic Nexus (41)
<Fri Oct  2 11:53:08 2020> Alias(2720): '/stealth' | @Mythic Nexus (41)
<Fri Oct  2 11:54:06 2020> Alias(2720): '/level 70' | @Swarmed Steps 1 (214)
<Fri Oct  2 11:54:14 2020> Alias(2720): '/level 70' | @Swarmed Steps 1 (214)
<Fri Oct  2 11:54:19 2020> Alias(2720): '/kill mobs' | @Swarmed Steps 1 (214)
<Fri Oct  2 11:54:25 2020> Alias(2720): '/kill all' | @Swarmed Steps 1 (214)
<Fri Oct  2 11:54:27 2020> Alias(2720): '/killmob' | @Swarmed Steps 1 (214)
<Fri Oct  2 11:54:34 2020> Alias(2720): '/kill mon' | @Swarmed Steps 1 (214)
