<Wed Oct 14 19:59:17 2020> Alias(2720): '/rl' | @Spring Tavern (332)
<Wed Oct 14 19:59:44 2020> Alias(2720): 'quest' | @Maso Sanctum (368)
<Wed Oct 14 20:26:06 2020> Alias(2720): '/item green_squirrel_pelt' | @Ogi Butcher (334)
<Wed Oct 14 20:26:10 2020> Alias(2720): '/item chicken_meat' | @Ogi Butcher (334)
<Wed Oct 14 20:26:14 2020> Alias(2720): '/item wolf_meat' | @Ogi Butcher (334)
<Wed Oct 14 20:26:21 2020> Alias(2720): '/item rat_meat' | @Ogi Butcher (334)
<Wed Oct 14 20:26:28 2020> Alias(2720): '/item bear_fur' | @Ogi Butcher (334)
<Wed Oct 14 20:26:44 2020> Alias(2720): '/item egg' | @Ogi Butcher (334)
<Wed Oct 14 20:27:21 2020> Alias(2720): '/item apple' | @Min's Shop (1029)
<Wed Oct 14 20:27:50 2020> Alias(2720): '/beef' | @Min's Shop (1029)
<Wed Oct 14 20:27:54 2020> Alias(2720): '/item lean_beef' | @Min's Shop (1029)
<Wed Oct 14 20:27:57 2020> Alias(2720): '/item beef' | @Min's Shop (1029)
<Wed Oct 14 20:28:23 2020> Alias(2720): '/item horse_meat' | @Min's Shop (1029)
<Wed Oct 14 20:48:52 2020> Alias(2720): '/level 99' | @Shadow Dragon (345)
<Wed Oct 14 21:02:50 2020> Alias(2720): '/tl' | @Sel's Home (1143)
<Wed Oct 14 21:08:59 2020> Alias(2720): '/rl' | @Pepper Tavern (361)
<Wed Oct 14 21:09:00 2020> Alias(2720): '/tl' | @Pepper Tavern (361)
<Wed Oct 14 21:17:52 2020> Alias(2720): 'mythic' | @Pepper Tavern (361)
<Wed Oct 14 21:18:05 2020> Alias(2720): '/warp 410 10 10' | @Sand Glen (410)
